I Am Bolt,7.1
The Tenth Man,7.1
The 40-Year-Old Virgin,7.1
Road to La Paz,7.1
Meet the Patels,7.1
Take Every Wave: The Life of Laird Hamilton,7.1
Nowhere Boy,7.1
Mr. Six,7.1
Cell Phone,7.1
My Beautiful Broken Brain,7.1
Diving Into the Unknown,7.1
Return to the 36th Chamber,7.1
Print the Legend,7.1
Chaos on the Bridge,7.1
Marc Maron: Too Real,7.1
The Danish Girl,7.1
Highly Strung,7.1
David Blaine: What Is Magic?,7.1
A.I. Artificial Intelligence,7.1
The Water Diviner,7.1
Across Grace Alley,7.1
Chinese Take-Away,7.1
Anina,7.1
The Death and Life of Marsha P. Johnson,7.1
Holy Hell,7.1
Dirty Hands,7.1
The Redeemed and the Dominant: Fittest on Earth,7.1
Monkey King: Hero Is Back,7.0
When Hari Got Married,7.0
Big Eyes,7.0
What About Bob?,7.0
Remember Sunday,7.0
What Dreams May Come,7.0
Resurface,7.0
Paul,7.0
Oblivion,7.0
Reaching for the Moon,7.0
Raw,7.0
Maleficent,7.0
Pretty Woman,7.0
Man vs Snake: The Long and Twisted Tale of Nibbler,7.0
Ocean Wonders,7.0
Veteran,7.0
Prescription Thugs,7.0
Public Enemies,7.0
Now More Than Ever: The History of Chicago,7.0
A Heavy Heart,7.0
Marguerite,7.0
A Barefoot Dream,7.0
Meet the Mormons,7.0
Long Live Freedom,7.0
Russell Brand: From Addiction to Recovery,7.0
Logan Lucky,7.0
A Most Violent Year,7.0
Russell Brand: End the Drugs War,7.0
World War Z,7.0
One Day,7.0
Amateur,7.0
Michael Che Matters,7.0
"Ram Dass, Going Home",7.0
Rambo,7.0
Aileen Wuornos: The Selling of a Serial Killer,7.0
Tokyo Idols,7.0
Thor: The Dark World,7.0
Kara Bela,7.0
"Justice, My Foot!",7.0
El Bosque de Karadima,7.0
Stockholm,7.0
The Thirteenth Floor,7.0
Thor,7.0
Iverson,7.0
Kathleen Madigan: Madigan Again,7.0
Kicking and Screaming,7.0
The Sunshine Makers,7.0
Chelsea Peretti: One of the Greats,7.0
Iron Man 2,7.0
Legend,7.0
The African Doctor,7.0
Standing Tall,7.0
Coming to America,7.0
Jack Reacher,7.0
Tell Spring Not to Come This Year,7.0
Dukhtar,7.0
Halo 4: Forward Unto Dawn,7.0
Jack and the Cuckoo-Clock Heart,7.0
Dirt,7.0
Cloverfield,7.0
Suite Française,7.0
Dragon: The Bruce Lee Story,7.0
The Fabulous Ice Age,7.0
The President's Barber,7.0
Jerry Before Seinfeld,7.0
Cloudy with a Chance of Meatballs,7.0
Super 8,7.0
Pasaje de vida,7.0
Jim Gaffigan: Cinco,7.0
The SpongeBob SquarePants Movie,7.0
Chicken Run,7.0
The Italian Job,7.0
The Secret Reunion,7.0
The Last Elvis,7.0
Frank,7.0
The Cabin in the Woods,7.0
The Magic of Belle Isle,7.0
Illegal,7.0
The Bad Kids,7.0
The Kids Are All Right,7.0
The Reconquest,7.0
Hunterrr,7.0
How to Steal a Dog,7.0
Hunter x Hunter: The Last Mission,7.0
Danny Collins,7.0
Le K Benzema,7.0
First Contact: Lost Tribe of the Amazon,7.0
Somm,7.0
Amanda Knox,6.9
Ted,6.9
My Little Pony Equestria Girls: Rainbow Rocks,6.9
The Resistance Banker,6.9
Jen Kirkman: I'm Gonna Die Alone (And I Feel Fine),6.9
I Am Jane Doe,6.9
"AWAKE, A Dream from Standing Rock",6.9
I Don't Feel at Home in This World Anymore,6.9
Clear and Present Danger,6.9
Cinderella,6.9
National Treasure,6.9
